iter	Passed	Remaining
0	147	147334
1	152	76111
2	157	52230
3	162	40372
4	167	33234
5	171	28430
6	176	25017
7	181	22452
8	186	20531
9	189	18807
10	192	17346
11	195	16059
12	197	14971
13	199	14031
14	200	13197
15	202	12478
16	204	11826
17	206	11242
18	207	10715
19	208	10231
20	209	9784
21	211	9394
22	212	9030
23	213	8689
24	214	8375
25	215	8082
26	217	7824
27	218	7575
28	219	7337
29	219	7112
30	220	6903
31	221	6704
32	222	6517
33	223	6347
34	224	6185
35	225	6033
36	226	5885
37	226	5745
38	227	5613
39	228	5486
40	229	5365
41	230	5251
42	231	5144
43	232	5041
44	233	4946
45	233	4852
46	234	4759
47	235	4672
48	236	4590
49	237	4510
50	238	4434
51	239	4361
52	240	4293
53	241	4227
54	242	4162
55	243	4100
56	244	4041
57	245	3983
58	246	3929
59	247	3875
60	248	3824
61	249	3774
62	250	3725
63	251	3679
64	252	3636
65	253	3590
66	254	3547
67	255	3498
68	256	3457
69	257	3417
70	258	3378
71	259	3340
72	260	3303
73	261	3268
74	262	3234
75	263	3202
76	264	3170
77	265	3137
78	266	3106
79	267	3077
80	268	3046
81	269	3017
82	270	2990
83	271	2961
84	272	2930
85	273	2903
86	273	2873
87	274	2847
88	276	2825
89	277	2802
90	278	2778
91	279	2756
92	280	2733
93	281	2711
94	282	2689
95	283	2668
96	284	2647
97	285	2626
98	286	2606
99	287	2587
100	288	2568
101	289	2545
102	290	2525
103	291	2507
104	292	2489
105	293	2471
106	294	2454
107	295	2438
108	296	2422
109	297	2405
110	298	2388
111	299	2372
112	300	2356
113	301	2341
114	302	2326
115	303	2309
116	304	2295
117	305	2281
118	306	2265
119	307	2251
120	308	2238
121	309	2224
122	309	2208
123	310	2194
124	311	2181
125	312	2169
126	313	2156
127	314	2142
128	315	2130
129	316	2118
130	317	2107
131	318	2095
132	319	2085
133	321	2074
134	322	2064
135	323	2053
136	324	2043
137	325	2032
138	326	2023
139	327	2013
140	328	2003
141	329	1993
142	331	1984
143	332	1974
144	333	1966
145	334	1957
146	335	1949
147	337	1940
148	338	1932
149	339	1924
150	340	1916
151	341	1907
152	343	1899
153	344	1890
154	345	1881
155	346	1873
156	347	1865
157	348	1857
158	349	1849
159	350	1842
160	352	1837
161	353	1830
162	355	1823
163	356	1815
164	357	1808
165	358	1801
166	359	1793
167	360	1787
168	362	1780
169	363	1772
170	364	1769
171	366	1765
172	367	1758
173	368	1751
174	369	1744
175	371	1737
176	372	1730
177	373	1723
178	374	1716
179	375	1709
180	375	1700
181	376	1693
182	377	1686
183	378	1680
184	379	1673
185	381	1667
186	382	1661
187	383	1655
188	384	1648
189	385	1642
190	386	1636
191	387	1631
192	388	1625
193	389	1619
194	390	1614
195	392	1608
196	393	1603
197	394	1598
198	395	1592
199	396	1587
200	397	1581
201	399	1576
202	400	1571
