iter	Passed	Remaining
0	0	809
1	1	760
2	2	768
3	3	747
4	3	733
5	4	728
6	5	722
7	5	725
8	6	716
9	7	708
10	7	703
11	8	701
12	9	696
13	9	690
14	10	697
15	11	692
16	11	688
17	12	683
18	13	679
19	13	677
20	14	673
21	15	681
22	16	686
23	16	686
24	17	687
25	18	687
26	19	685
27	19	682
28	20	681
29	20	678
30	21	676
31	22	673
32	22	671
33	23	669
34	24	667
35	24	665
36	25	664
37	26	664
38	26	662
39	27	660
40	28	662
41	29	661
42	29	660
43	30	660
44	31	658
45	31	660
46	32	658
47	33	657
48	33	655
49	34	654
50	35	652
51	35	651
52	36	650
53	37	650
54	37	648
55	38	647
56	39	646
57	39	644
58	40	643
59	41	643
60	41	643
61	42	642
62	43	641
63	43	640
64	44	640
65	45	639
66	45	638
67	46	637
68	47	637
69	47	637
70	48	636
71	49	635
72	49	634
73	50	632
74	51	631
75	51	630
76	52	629
77	53	627
78	53	626
79	54	625
80	55	625
81	55	624
82	56	619
83	56	618
84	57	617
85	58	616
86	58	616
87	59	615
88	60	614
89	61	617
90	61	616
91	62	615
92	62	613
93	63	613
94	64	611
95	64	610
96	65	610
97	66	608
98	66	607
99	67	607
100	68	606
101	68	605
102	69	604
103	70	604
104	70	603
105	71	603
106	72	603
107	73	603
108	73	602
109	74	602
110	75	601
111	75	600
112	76	598
113	76	597
114	77	596
115	78	594
116	78	592
117	79	591
118	79	589
119	80	588
120	80	587
121	81	584
122	81	583
123	82	582
124	82	580
125	83	579
126	84	577
127	84	576
128	85	575
129	85	574
130	86	572
131	87	575
132	88	573
133	88	573
134	89	573
135	90	572
136	90	572
137	91	571
138	92	570
139	92	569
140	93	568
141	93	566
142	94	566
143	95	567
144	96	566
145	96	566
146	97	564
147	98	564
148	98	563
149	99	562
150	99	561
151	100	560
152	100	559
153	101	557
154	102	556
155	102	555
156	103	554
157	103	553
158	104	551
159	104	550
160	105	548
161	105	547
162	106	547
163	107	546
164	107	545
165	108	545
166	109	546
167	110	546
168	110	545
169	111	544
170	112	543
171	112	542
172	113	541
173	113	540
174	114	539
175	114	538
176	115	537
177	116	535
178	116	534
179	117	533
180	117	532
181	118	531
182	118	530
183	119	529
184	120	528
185	120	527
186	121	526
187	121	526
188	122	525
189	122	524
190	123	523
191	124	522
192	124	521
193	125	520
194	125	519
195	126	518
196	126	517
197	127	516
198	128	515
199	128	514
200	129	513
201	129	513
202	130	512
203	131	511
204	131	510
205	132	509
206	132	508
207	133	507
208	133	506
209	134	505
210	135	504
211	135	503
212	136	503
213	136	502
214	137	501
215	137	500
216	138	499
217	139	498
218	139	497
219	140	496
220	140	496
221	141	495
222	141	494
223	142	493
224	143	492
225	143	491
226	144	491
227	144	490
228	145	489
229	145	488
230	146	487
231	147	487
232	147	486
233	148	485
234	148	484
235	149	483
236	149	482
237	150	481
238	151	480
239	151	480
240	152	479
241	152	478
242	153	477
243	154	477
244	154	477
245	155	476
246	155	475
247	156	474
248	157	473
249	157	472
250	158	471
251	158	471
252	159	470
253	159	469
254	160	468
255	160	467
256	161	466
257	162	466
258	162	465
259	163	464
260	163	463
261	164	462
